165 225 146 39  65  210 225 132 246 265 263 224 207 155 136 207 75  11  225 226 257 225 87  39  263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   18 20 6
225 146 39  206 210 225 25  246 164 89  102 207 262 148 226 53  207 206 78  281 127 50  11  225 87  39  254 225 226 106 263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   18 20 6
43  39  146 45  225 132 246 265 257 225 68  148 80  207 155 136 207 206 78  281 127 254 225 226 106 257 39  87  263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   18 20 6
165 225 87  39  210 225 132 246 164 263 80  207 11  225 226 257 39  141 89  1   206 254 225 246 153 147 225 296 263 225 87  39  170 252 110 155 136 84  132 153 206 230 262 225 141 39  278 255 73  98  73  39  183 91  263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   20 13 5
225 94  39  206 210 225 132 246 164 263 102 207 226 287 1   49  260 118 263 90  102 225 87  39  183 225 94  148 144 240 263 90  102 225 87  39  183 225 142 148 146 240 263 276 225 87  39  155 136 136 132 153 257 225 39  206 230 262 225 141 39  11  225 246 263 225 87  39  201 152 252 255 73  98  257 73  39  119 181 45  39  141 263 20 13 5
43  39  87  281 45  225 132 246 164 148 80  207 11  73  69  136 206 73  98  73  39  11  225 226 257 39  141 89  1   206 210 225 296 246 164 263 39  1   132 153 170 252 230 262 39  141 263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   20 13 5
165 225 174 39  210 225 209 257 225 68  89  207 206 11  225 246 257 225 135 39  263 224 207 155 136 207 206 78  278 148 11  225 226 257 225 174 39  263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   12 2 3
225 174 39  206 210 225 209 257 225 68  263 102 207 262 148 246 53  207 75  281 127 11  225 226 257 225 142 39  263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   12 15 6
43  281 39  174 45  225 209 148 80  207 78  281 11  225 226 257 39  142 263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   12 15 6
165 225 142 39  210 225 209 257 225 68  89  207 206 147 225 226 106 257 225 209 263 224 207 155 136 207 206 78  281 11  225 226 257 225 146 39  263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   15 18 6
225 142 39  206 65  210 225 209 257 225 68  147 225 132 246 164 263 102 207 262 148 259 226 53  207 75  281 127 11  225 226 257 225 146 39  263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   15 18 6
43  281 39  142 45  225 209 257 225 68  148 80  207 11  155 136 207 75  281 127 11  225 226 39  146 263 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   15 18 6
